#   See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000634155.1	PRJNA224116	SAMN02671334	JFLN00000000.1	na	1471463	1471463	Prochlorococcus sp. scB241_529C4		scB241_529C4	suppressed	Scaffold	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/155/GCF_000634155.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634175.1	PRJNA224116	SAMN02671335	JFLO00000000.1	na	1471464	1471464	Prochlorococcus sp. scB241_529D18		scB241_529D18	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/175/GCF_000634175.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634195.1	PRJNA224116	SAMN02671340	JFLT00000000.1	na	1471469	1471469	Prochlorococcus sp. scB243_495D8		scB243_495D8	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/195/GCF_000634195.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634215.1	PRJNA224116	SAMN02671344	JFLX00000000.1	na	1471473	1471473	Prochlorococcus sp. scB243_495L20		scB243_495L20	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/215/GCF_000634215.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634235.1	PRJNA224116	SAMN02671345	JFLY00000000.1	na	1471474	1471474	Prochlorococcus sp. scB243_495N16		scB243_495N16	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/235/GCF_000634235.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634255.1	PRJNA224116	SAMN02671349	JFMC00000000.1	na	1471478	1471478	Prochlorococcus sp. scB243_496A2		scB243_496A2	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/255/GCF_000634255.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634275.1	PRJNA224116	SAMN02671356	JFMJ00000000.1	na	1471485	1471485	Prochlorococcus sp. scB243_497J18		scB243_497J18	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/275/GCF_000634275.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634295.1	PRJNA224116	SAMN02671358	JFML00000000.1	na	1471487	1471487	Prochlorococcus sp. scB243_498A3		scB243_498A3	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/295/GCF_000634295.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634315.1	PRJNA224116	SAMN02671365	JFMS00000000.1	na	1471494	1471494	Prochlorococcus sp. scB243_498J20		scB243_498J20	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/315/GCF_000634315.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634335.1	PRJNA224116	SAMN02671368	JFMV00000000.1	na	1471497	1471497	Prochlorococcus sp. scB243_498N4		scB243_498N4	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/335/GCF_000634335.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634355.1	PRJNA224116	SAMN02671369	JFMW00000000.1	na	1471498	1471498	Prochlorococcus sp. scB243_498N8		scB243_498N8	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/355/GCF_000634355.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634375.1	PRJNA224116	SAMN02671372	JFMZ00000000.1	na	1471501	1471501	Prochlorococcus sp. scB245a_518A17		scB245a_518A17	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/375/GCF_000634375.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634395.1	PRJNA224116	SAMN02671374	JFNB00000000.1	na	1471503	1471503	Prochlorococcus sp. scB245a_518D8		scB245a_518D8	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/395/GCF_000634395.1_De_novo_assembly_of_single-cell_genomes	unverified source organism ; derived from single cell	
GCF_000634415.1	PRJNA224116	SAMN02671380	JFNH00000000.1	na	1471509	1471509	Prochlorococcus sp. scB245a_519A13		scB245a_519A13	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/415/GCF_000634415.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634435.1	PRJNA224116	SAMN02671381	JFNI00000000.1	na	1471510	1471510	Prochlorococcus sp. scB245a_519B7		scB245a_519B7	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/435/GCF_000634435.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634455.1	PRJNA224116	SAMN02671388	JFNP00000000.1	na	1471517	1471517	Prochlorococcus sp. scB245a_519O21		scB245a_519O21	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/455/GCF_000634455.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634475.1	PRJNA224116	SAMN02671389	JFNQ00000000.1	na	1471518	1471518	Prochlorococcus sp. scB245a_520B18		scB245a_520B18	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/475/GCF_000634475.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634495.1	PRJNA224116	SAMN02671390	JFNR00000000.1	na	1471519	1471519	Prochlorococcus sp. scB245a_520D2		scB245a_520D2	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/495/GCF_000634495.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634515.1	PRJNA224116	SAMN02671393	JFNU00000000.1	na	1471522	1471522	Prochlorococcus sp. scB245a_520K10		scB245a_520K10	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634515.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/515/GCF_000634515.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634535.1	PRJNA224116	SAMN02671394	JFNV00000000.1	na	1471523	1471523	Prochlorococcus sp. scB245a_520M11		scB245a_520M11	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634535.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/535/GCF_000634535.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634555.1	PRJNA224116	SAMN02671395	JFNW00000000.1	na	1471524	1471524	Prochlorococcus sp. scB245a_521A19		scB245a_521A19	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634555.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/555/GCF_000634555.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634575.1	PRJNA224116	SAMN02671400	JFOB00000000.1	na	1471529	1471529	Prochlorococcus sp. scB245a_521N3		scB245a_521N3	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634575.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/575/GCF_000634575.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634595.1	PRJNA224116	SAMN02671403	JFOE00000000.1	na	1471532	1471532	Prochlorococcus sp. scB245a_521O23		scB245a_521O23	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/595/GCF_000634595.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634615.1	PRJNA224116	SAMN02647111	JFKO00000000.1	na	1471438	1471438	Prochlorococcus sp. scB241_526B19		scB241_526B19	suppressed	Scaffold	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634615.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/615/GCF_000634615.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634635.1	PRJNA224116	SAMN02647112	JFKP00000000.1	na	1471439	1471439	Prochlorococcus sp. scB241_526B22		scB241_526B22	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/635/GCF_000634635.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634655.1	PRJNA224116	SAMN02671313	JFKS00000000.1	na	1471442	1471442	Prochlorococcus sp. scB241_526N5		scB241_526N5	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/655/GCF_000634655.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634675.1	PRJNA224116	SAMN02671316	JFKV00000000.1	na	1471445	1471445	Prochlorococcus sp. scB241_527E15		scB241_527E15	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634675.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/675/GCF_000634675.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634695.1	PRJNA224116	SAMN02671319	JFKY00000000.1	na	1471448	1471448	Prochlorococcus sp. scB241_527L15		scB241_527L15	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/695/GCF_000634695.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634715.1	PRJNA224116	SAMN02671326	JFLF00000000.1	na	1471455	1471455	Prochlorococcus sp. scB241_528K19		scB241_528K19	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/715/GCF_000634715.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634735.1	PRJNA224116	SAMN02671327	JFLG00000000.1	na	1471456	1471456	Prochlorococcus sp. scB241_528N17		scB241_528N17	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634735.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/735/GCF_000634735.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634755.1	PRJNA224116	SAMN02671328	JFLH00000000.1	na	1471457	1471457	Prochlorococcus sp. scB241_528N20		scB241_528N20	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/755/GCF_000634755.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634775.1	PRJNA224116	SAMN02671329	JFLI00000000.1	na	1471458	1471458	Prochlorococcus sp. scB241_528N8		scB241_528N8	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/775/GCF_000634775.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634795.1	PRJNA224116	SAMN02671337	JFLQ00000000.1	na	1471466	1471466	Prochlorococcus sp. scB241_529J15		scB241_529J15	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/795/GCF_000634795.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634815.1	PRJNA224116	SAMN02671341	JFLU00000000.1	na	1471470	1471470	Prochlorococcus sp. scB243_495G23		scB243_495G23	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/815/GCF_000634815.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634835.1	PRJNA224116	SAMN02671342	JFLV00000000.1	na	1471471	1471471	Prochlorococcus sp. scB243_495I8		scB243_495I8	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/835/GCF_000634835.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634855.1	PRJNA224116	SAMN02671347	JFMA00000000.1	na	1471476	1471476	Prochlorococcus sp. scB243_495N4		scB243_495N4	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/855/GCF_000634855.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634875.1	PRJNA224116	SAMN02671348	JFMB00000000.1	na	1471477	1471477	Prochlorococcus sp. scB243_495P20		scB243_495P20	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/875/GCF_000634875.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634895.1	PRJNA224116	SAMN02671350	JFMD00000000.1	na	1471479	1471479	Prochlorococcus sp. scB243_496E10		scB243_496E10	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634895.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/895/GCF_000634895.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634915.1	PRJNA224116	SAMN02671351	JFME00000000.1	na	1471480	1471480	Prochlorococcus sp. scB243_496G15		scB243_496G15	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/915/GCF_000634915.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634935.1	PRJNA224116	SAMN02671355	JFMI00000000.1	na	1471484	1471484	Prochlorococcus sp. scB243_497I20		scB243_497I20	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/935/GCF_000634935.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634955.1	PRJNA224116	SAMN02671357	JFMK00000000.1	na	1471486	1471486	Prochlorococcus sp. scB243_497N18		scB243_497N18	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634955.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/955/GCF_000634955.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634975.1	PRJNA224116	SAMN02671359	JFMM00000000.1	na	1471488	1471488	Prochlorococcus sp. scB243_498B22		scB243_498B22	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/975/GCF_000634975.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000634995.1	PRJNA224116	SAMN02671361	JFMO00000000.1	na	1471490	1471490	Prochlorococcus sp. scB243_498C16		scB243_498C16	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000634995.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/634/995/GCF_000634995.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635015.1	PRJNA224116	SAMN02671364	JFMR00000000.1	na	1471493	1471493	Prochlorococcus sp. scB243_498I20		scB243_498I20	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635015.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/015/GCF_000635015.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635035.1	PRJNA224116	SAMN02671366	JFMT00000000.1	na	1471495	1471495	Prochlorococcus sp. scB243_498L10		scB243_498L10	suppressed	Scaffold	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635035.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/035/GCF_000635035.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635055.1	PRJNA224116	SAMN02671373	JFNA00000000.1	na	1471502	1471502	Prochlorococcus sp. scB245a_518A6		scB245a_518A6	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/055/GCF_000635055.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635075.1	PRJNA224116	SAMN02671375	JFNC00000000.1	na	1471504	1471504	Prochlorococcus sp. scB245a_518E10		scB245a_518E10	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/075/GCF_000635075.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635095.1	PRJNA224116	SAMN02671377	JFNE00000000.1	na	1471506	1471506	Prochlorococcus sp. scB245a_518J7		scB245a_518J7	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/095/GCF_000635095.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635115.1	PRJNA224116	SAMN02671378	JFNF00000000.1	na	1471507	1471507	Prochlorococcus sp. scB245a_518K17		scB245a_518K17	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635115.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/115/GCF_000635115.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635135.1	PRJNA224116	SAMN02671379	JFNG00000000.1	na	1471508	1471508	Prochlorococcus sp. scB245a_518O7		scB245a_518O7	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635135.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/135/GCF_000635135.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635155.1	PRJNA224116	SAMN02671382	JFNJ00000000.1	na	1471511	1471511	Prochlorococcus sp. scB245a_519C7		scB245a_519C7	suppressed	Scaffold	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635155.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/155/GCF_000635155.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635175.1	PRJNA224116	SAMN02671384	JFNL00000000.1	na	1471513	1471513	Prochlorococcus sp. scB245a_519E23		scB245a_519E23	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/175/GCF_000635175.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635195.1	PRJNA224116	SAMN02671386	JFNN00000000.1	na	1471515	1471515	Prochlorococcus sp. scB245a_519L21		scB245a_519L21	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/195/GCF_000635195.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635215.1	PRJNA224116	SAMN02671397	JFNY00000000.1	na	1471526	1471526	Prochlorococcus sp. scB245a_521C8		scB245a_521C8	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/215/GCF_000635215.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635235.1	PRJNA224116	SAMN02671398	JFNZ00000000.1	na	1471527	1471527	Prochlorococcus sp. scB245a_521K15		scB245a_521K15	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/235/GCF_000635235.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635255.1	PRJNA224116	SAMN02671402	JFOD00000000.1	na	1471531	1471531	Prochlorococcus sp. scB245a_521O20		scB245a_521O20	suppressed	Scaffold	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/255/GCF_000635255.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635275.1	PRJNA224116	SAMN02671311	JFKQ00000000.1	na	1471440	1471440	Prochlorococcus sp. scB241_526D20		scB241_526D20	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/275/GCF_000635275.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635295.1	PRJNA224116	SAMN02671317	JFKW00000000.1	na	1471446	1471446	Prochlorococcus sp. scB241_527G5		scB241_527G5	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/295/GCF_000635295.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635315.1	PRJNA224116	SAMN02671318	JFKX00000000.1	na	1471447	1471447	Prochlorococcus sp. scB241_527I9		scB241_527I9	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/315/GCF_000635315.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635335.1	PRJNA224116	SAMN02671320	JFKZ00000000.1	na	1471449	1471449	Prochlorococcus sp. scB241_527L16		scB241_527L16	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/335/GCF_000635335.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635355.1	PRJNA224116	SAMN02671321	JFLA00000000.1	na	1471450	1471450	Prochlorococcus sp. scB241_527L22		scB241_527L22	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/355/GCF_000635355.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635375.1	PRJNA224116	SAMN02671323	JFLC00000000.1	na	1471452	1471452	Prochlorococcus sp. scB241_527P5		scB241_527P5	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/375/GCF_000635375.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635395.1	PRJNA224116	SAMN02671332	JFLL00000000.1	na	1471461	1471461	Prochlorococcus sp. scB241_528P18		scB241_528P18	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635395.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/395/GCF_000635395.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
GCF_000635415.1	PRJNA224116	SAMN02671333	JFLM00000000.1	na	1471462	1471462	Prochlorococcus sp. scB241_529B19		scB241_529B19	suppressed	Contig	Major	Full	2014/04/22	De novo assembly of single-cell genomes	Massachusetts Institute of Technology	GCA_000635415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/635/415/GCF_000635415.1_De_novo_assembly_of_single-cell_genomes	derived from single cell	
